Course,Section,GPA Grades,Ave.GPA ,SD2,Median GPA,% A,% B,% C,% D,% F,% P,% I,AU%,%W/AW,#Letter Grades
CHME 200,1,47,"2,71","0,79","2,67",17,49,28,6,0,0,0,0,0,47
CHME 201,1,47,"2,69","0,62","2,67",2,71,17,8,0,0,2,0,0,48
CHME 222,1,48,"2,90","0,50","3,00",8,73,17,2,0,0,0,0,0,48
CHME 300,1,47,"2,62","0,85","2,67",4,64,19,9,4,0,0,0,0,47
CHME 301,1,46,"3,01","0,86","3,33",31,44,15,4,2,0,0,0,4,48
CHME 302,1,43,"2,78","0,67","3,00",14,58,23,2,2,0,0,0,0,43
CHME 351,1,35,"2,86","0,59","3,00",3,86,6,0,3,0,0,0,3,36
CHME 353,1,39,"3,05","0,54","3,00",23,60,15,0,0,0,3,0,0,40
CHME 400,1,41,"3,22","0,60","3,33",42,49,10,0,0,0,0,0,0,41
CHME 401,1,10,"3,57","0,28","3,67",70,30,0,0,0,0,0,0,0,10
CHME 401,2,9,"3,41","0,22","3,33",33,67,0,0,0,0,0,0,0,9
CHME 401,3,9,"4,00","0,00","4,00",100,0,0,0,0,0,0,0,0,9
CHME 401,4,14,"3,55","0,52","3,67",57,36,7,0,0,0,0,0,0,14
CHME 453,1,31,"3,00","0,65","3,00",29,42,29,0,0,0,0,0,0,31
CEE 200,1,74,"2,65","0,95","2,67",19,41,28,8,4,0,0,0,0,74
CEE 200,2,58,"2,55","1,12","2,83",19,41,24,7,9,0,0,0,0,58
CEE 201,1,72,"2,76","0,89","3,00",19,46,22,10,1,0,1,0,1,74
CEE 201,2,58,"2,33","0,94","2,33",5,37,44,3,9,0,0,0,2,59
CEE 204,1,72,"2,81","0,69","3,00",18,49,27,4,0,0,1,0,1,74
CEE 300,1,66,"2,04","1,03","2,00",10,26,28,25,7,0,0,0,4,69
CEE 302,1,66,"2,69","0,73","2,67",12,49,31,5,2,0,0,0,2,67
CEE 304,1,68,"2,25","1,03","2,33",7,41,26,17,7,0,0,0,1,69
CEE 306,1,68,"2,38","0,54","2,33",0,44,49,4,0,0,0,0,3,70
CEE 401,1,58,"2,91","0,67","3,00",14,66,17,2,2,0,0,0,0,58
CEE 450,1,17,"2,84","0,61","2,67",13,39,22,0,0,0,0,17,9,23
CEE 460,1,31,"3,64","0,43","3,67",74,26,0,0,0,0,0,0,0,31
CEE 462,1,23,"3,03","0,59","3,00",22,61,17,0,0,0,0,0,0,23
CEE 465,1,27,"2,42","1,10","2,67",7,56,22,4,11,0,0,0,0,27
CEE 467,1,28,"3,62","0,53","3,67",71,25,4,0,0,0,0,0,0,28
CEE 200,1,74,"2,65","0,95","2,67",19,41,28,8,4,0,0,0,0,74
CEE 200,2,58,"2,55","1,12","2,83",19,41,24,7,9,0,0,0,0,58
ELCE 200,1,51,"2,82","0,90","3,00",25,45,21,2,4,0,0,0,4,53
ELCE 203 Lab,1,27,"3,31","0,92","3,67",52,37,4,4,4,0,0,0,0,27
ELCE 203 Lab,2,24,"3,31","1,16","3,67",62,15,8,0,8,0,0,0,8,26
ELCE 203,1,60,"2,08","1,00","2,33",6,33,29,18,10,0,0,0,5,63
ELCE 204,1,6,"3,39","0,61","3,50",43,43,0,0,0,0,0,0,14,7
ELCE 205,1,49,"3,12","0,68","3,33",30,54,10,4,0,0,0,0,2,50
ELCE 301 Lab,1,20,"3,47","0,42","3,67",50,41,0,0,0,0,0,0,9,22
ELCE 301 Lab,2,13,"2,72","0,80","3,00",15,46,31,8,0,0,0,0,0,13
ELCE 301,1,36,"2,67","1,22","3,00",34,26,21,5,8,0,0,0,5,38
ELCE 304 Lab,1,24,"3,61","0,91","4,00",80,8,4,0,4,0,4,0,0,25
ELCE 304 Lab,2,12,"3,11","1,11","3,17",36,43,0,0,7,0,7,0,7,14
ELCE 304,1,36,"2,71","0,87","3,00",10,54,23,0,5,0,5,0,3,39
ELCE 306,1,25,"2,79","1,02","3,00",27,42,12,12,4,0,0,0,4,26
ELCE 307,1,13,"2,51","1,32","3,00",23,39,23,0,15,0,0,0,0,13
ELCE 350,1,18,"2,52","1,04","2,33",21,21,42,5,5,0,5,0,0,19
ELCE 452,1,39,"2,98","0,49","3,00",15,68,12,0,0,0,0,0,5,41
ELCE 455,1,37,"2,69","0,72","2,67",10,58,15,10,0,0,0,0,8,40
ELCE 461,1,35,"2,93","0,95","3,33",43,31,20,0,6,0,0,0,0,35
ELCE 462,1,12,"3,00","0,43","3,00",15,69,8,0,0,0,0,0,8,13
ELCE 463,1,9,"3,22","0,71","3,33",44,33,22,0,0,0,0,0,0,9
ELCE 465,1,27,"3,47","1,06","3,67",78,15,0,0,7,0,0,0,0,27
ELCE 466,1,11,"2,85","0,79","3,00",27,36,36,0,0,0,0,0,0,11
ENG 100,1,210,"3,55","0,50","3,67",68,25,2,0,1,0,0,0,4,218
ENG 101,1,210,"3,35","0,71","3,67",51,37,7,0,1,0,0,0,3,217
ENG 200,1,75,"2,88","0,90","3,00",27,48,17,5,3,0,0,0,0,75
ENG 200,2,42,"2,94","0,76","3,00",26,41,31,2,0,0,0,0,0,42
ENG 200,3,51,"2,77","0,99","3,00",25,42,23,2,6,0,2,0,0,52
ENG 200,4,53,"3,38","0,68","3,67",54,30,9,2,0,0,4,0,2,56
ENG 200,5,8,"2,71","1,09","2,83",25,38,25,13,0,0,0,0,0,8
ENG 400,1,1,"3,00",,"3,00",0,33,0,0,0,0,0,0,67,3
ENG 400,3,0,,,,0,0,0,0,0,0,0,0,100,1
MAE 201,1,57,"3,41","0,66","3,33",47,47,3,0,2,0,0,0,2,58
MAE 300,1,58,"2,57","0,81","2,67",12,46,32,5,3,0,0,0,2,59
MAE 301,1,57,"3,19","0,48","3,33",29,62,7,0,0,0,0,0,2,58
MAE 303,1,57,"2,42","0,72","2,33",3,45,40,9,2,0,0,0,2,58
MAE 303,2,6,"1,06","0,61","1,00",0,0,29,43,14,0,0,0,14,7
MAE 307,1,55,"2,61","0,77","2,33",14,34,46,2,2,0,0,0,2,56
MAE 400,1,53,"2,48","0,79","2,33",13,33,38,13,0,0,0,0,4,55
MAE 401,1,51,"2,91","0,61","2,67",23,42,32,0,0,0,0,0,4,53
MAE 450,1,22,"2,59","0,51","2,50",9,41,50,0,0,0,0,0,0,22
MAE 453,1,4,"3,50","0,43","3,50",50,50,0,0,0,0,0,0,0,4
MAE 454,1,42,"2,82","0,98","3,00",25,41,25,0,5,0,0,0,5,44
MAE 455,1,15,"3,02","1,00","3,00",25,40,5,0,5,0,0,0,25,20
MAE 462,1,2,"1,00","1,41","1,00",0,0,50,0,50,0,0,0,0,2
CSCI 111,1,39,"3,74","0,31","3,67",85,15,0,0,0,0,0,0,0,39
CSCI 115,1,106,"3,13","0,64","3,33",25,61,12,0,1,0,0,0,1,107
CSCI 115,2,96,"3,02","0,65","3,00",26,55,18,1,0,0,0,0,0,96
CSCI 115,3,99,"3,01","0,77","3,33",25,54,17,1,2,0,0,0,2,101
CSCI 151,1,118,"1,89","1,11","2,17",3,31,30,13,17,0,2,0,3,125
CSCI 151,2,126,"1,97","1,22","2,00",8,32,21,16,18,0,0,0,4,131
CSCI 151,3,132,"2,03","1,09","2,33",6,30,36,12,15,0,1,0,0,133
CSCI 231,1,96,"2,36","1,03","2,50",12,35,30,9,8,0,0,0,7,103
CSCI 231,2,99,"2,39","0,96","2,67",9,44,34,3,9,0,0,0,2,101
CSCI 231,3,96,"2,18","1,00","2,33",10,22,48,8,8,0,0,0,5,101
CSCI 235,1,130,"2,65","0,89","2,67",16,48,25,5,4,0,0,0,3,134
CSCI 235,2,135,"2,68","0,85","3,00",13,47,29,6,4,0,0,0,2,137
CSCI 281,1,32,"2,25","0,75","2,00",6,24,64,0,3,0,0,0,3,33
CSCI 325,1,14,"2,31","0,79","2,33",7,33,40,13,0,0,0,0,7,15
CSCI 341,1,126,"2,75","0,80","3,00",15,56,20,6,2,0,0,0,2,128
CSCI 341,2,138,"2,79","0,86","2,83",23,45,25,4,2,0,0,0,1,139
CSCI 344,1,30,"2,46","0,58","2,33",3,40,50,7,0,0,0,0,0,30
CSCI 344,2,28,"2,54","0,61","2,67",7,45,32,7,0,0,0,0,10,31
CSCI 355,1,26,"1,87","1,31","2,00",13,13,22,19,16,0,3,0,16,32
CSCI 361,1,145,"3,43","0,38","3,33",45,53,2,0,0,0,0,0,0,145
CSCI 361,2,115,"3,22","0,39","3,33",19,77,3,0,0,0,0,0,1,116
CSCI 390,1,91,"2,40","0,81","2,33",8,38,44,7,3,0,0,0,1,92
CSCI 390,2,93,"2,60","0,76","2,67",9,52,31,5,2,0,0,0,1,94
CSCI 390,3,92,"2,46","0,73","2,67",2,48,42,3,3,0,0,0,1,93
CSCI 408,1,216,"3,72","0,40","4,00",83,13,4,0,0,0,0,0,1,217
CSCI 434,1,52,"3,30","0,48","3,33",33,62,6,0,0,0,0,0,0,52
CSCI 437,1,41,"3,42","0,57","3,67",52,38,7,0,0,0,0,0,2,42
CSCI 471,1,33,"2,39","1,11","2,33",16,21,32,13,5,0,0,0,13,38
CSCI 494,1,31,"3,27","0,72","3,33",39,39,15,0,0,0,0,0,6,33
CSCI 494,2,29,"2,90","1,07","3,33",20,53,13,3,7,0,0,0,3,30
ROBT 201,1,59,"2,73","0,74","2,67",11,47,26,5,2,0,0,0,11,66
ROBT 203,1,24,"2,26","1,08","2,33",8,32,44,0,12,0,0,0,4,25
ROBT 205,1,20,"2,92","1,19","3,33",35,40,15,0,10,0,0,0,0,20
ROBT 301,1,26,"2,74","0,90","3,00",11,63,11,7,4,0,4,0,0,27
ROBT 303,1,26,"2,33","1,32","2,67",27,27,23,8,15,0,0,0,0,26
ROBT 308,1,15,"2,82","1,08","2,67",38,25,25,0,6,0,6,0,0,16
ROBT 310,1,39,"3,76","0,49","4,00",80,15,5,0,0,0,0,0,0,39
ROBT 403,1,17,"3,02","0,46","3,00",12,71,18,0,0,0,0,0,0,17
ROBT 407,1,35,"2,92","0,81","3,00",18,50,21,0,3,0,0,3,5,38
ROBT 414,1,11,"2,97","0,85","3,00",33,33,25,0,0,0,0,0,8,12